Wall time,Step,Value
1556523180.5589333,0,1.4405403137207031
1556523188.1749613,20,0.7403298616409302
1556523194.513739,40,0.9208533763885498
1556523200.3659663,60,0.5727096199989319
1556523206.2667246,80,0.6516035795211792
1556523212.4023206,100,0.5693740844726562
1556523218.3235908,120,0.5275706052780151
1556523224.2290308,140,0.4745878577232361
1556523230.142451,160,0.3744047284126282
1556523236.0633907,180,0.5927478075027466
1556523241.76244,200,0.7320547699928284
1556523247.483194,220,0.5524802207946777
1556523253.211962,240,0.48392343521118164
1556523258.916117,260,0.5079352855682373
1556523264.6180937,280,0.4934665858745575
1556523270.7751071,300,0.3744567930698395
1556523276.9508576,320,0.4961414635181427
1556523282.6630492,340,0.34882429242134094
1556523288.3842404,360,0.5311702489852905
1556523294.1264856,380,0.5704100131988525
1556523299.8700728,400,0.6241494417190552
1556523305.5876832,420,0.5335311889648438
1556523311.3273642,440,0.524084210395813
1556523317.043781,460,0.40827038884162903
1556523322.7636273,480,0.47107863426208496
1556523328.5187156,500,0.5118784308433533
1556523334.2851727,520,0.465443879365921
1556523340.0542128,540,0.4900887608528137
1556523345.799982,560,0.45399853587150574
1556523351.5414374,580,0.4302508533000946
1556523357.2817864,600,0.41505712270736694
1556523363.0512831,620,0.452217698097229
1556523368.7898445,640,0.45492804050445557
1556523374.5325181,660,0.43205931782722473
1556523380.2750823,680,0.4062780737876892
1556523386.2478745,700,0.3524767756462097
1556523391.9936883,720,0.37223896384239197
1556523397.7371552,740,0.31238478422164917
1556523403.4782917,760,0.39471644163131714
1556523409.4773438,780,0.4635273516178131
1556523415.2182217,800,0.3820767104625702
1556523421.1990867,820,0.46751245856285095
1556523426.9409423,840,0.41044852137565613
1556523432.7092333,860,0.3961758315563202
1556523438.4854589,880,0.3983997106552124
1556523444.2285216,900,0.3386137783527374
1556523449.9732997,920,0.35898464918136597
1556523455.749885,940,0.3412398099899292
1556523461.5199842,960,0.4316038191318512
1556523467.2649713,980,0.38790708780288696
1556523473.0341833,1000,0.348355770111084
1556523479.0311272,1020,0.404096782207489
1556523484.7769942,1040,0.32819920778274536
1556523490.5243,1060,0.33043593168258667
1556523496.2948182,1080,0.35222098231315613
1556523502.069692,1100,0.4118788242340088
1556523507.8186007,1120,0.3307722806930542
1556523513.5714362,1140,0.40586039423942566
1556523519.3518891,1160,0.2988583445549011
1556523525.3561845,1180,0.3481004238128662
1556523531.131219,1200,0.35500216484069824
1556523536.8953893,1220,0.34922680258750916
1556523542.6676292,1240,0.3492720425128937
1556523548.4125175,1260,0.5359072685241699
1556523554.1581748,1280,0.32043033838272095
1556523559.936889,1300,0.3756561279296875
1556523565.7081773,1320,0.33349207043647766
1556523571.4536247,1340,0.37691739201545715
1556523577.2233121,1360,0.39363422989845276
1556523582.9973307,1380,0.34619441628456116
1556523588.74327,1400,0.3337845206260681
1556523594.4912944,1420,0.5253939628601074
1556523600.2681165,1440,0.4188879728317261
1556523606.0433316,1460,0.35249418020248413
1556523611.7876859,1480,0.289421021938324
1556523617.5603917,1500,0.25898492336273193
1556523623.3375916,1520,0.3237459063529968
1556523629.0812545,1540,0.2686014771461487
1556523634.8611863,1560,0.34495678544044495
1556523640.6089156,1580,0.25178438425064087
1556523646.3882537,1600,0.36734136939048767
1556523652.1572104,1620,0.29183724522590637
1556523658.1271358,1640,0.3229173421859741
1556523664.1327677,1660,0.2264060378074646
1556523669.90391,1680,0.35442936420440674
1556523675.6527736,1700,0.3209397792816162
1556523681.4298015,1720,0.26449573040008545
1556523687.1729193,1740,0.34441685676574707
1556523692.94229,1760,0.3137684464454651
1556523698.6923542,1780,0.25815990567207336
1556523704.4432466,1800,0.330241322517395
1556523710.2271824,1820,0.28232279419898987
1556523715.9993944,1840,0.2850452661514282
1556523721.7730706,1860,0.3196451663970947
1556523727.7743251,1880,0.22400116920471191
1556523733.5288482,1900,0.23018619418144226
1556523739.2813861,1920,0.23939988017082214
1556523745.0338514,1940,0.3250367343425751
1556523750.8141143,1960,0.31401923298835754
1556523756.5867808,1980,0.27052927017211914
1556523762.3345137,2000,0.2680995464324951
1556523768.1156735,2020,0.2623022794723511
1556523773.8954353,2040,0.2928507924079895
1556523779.676707,2060,0.30082595348358154
1556523785.4289784,2080,0.2177163064479828
1556523791.2088172,2100,0.30135437846183777
1556523796.9864593,2120,0.22753793001174927
1556523802.732913,2140,0.2802669107913971
1556523808.4797025,2160,0.29432350397109985
1556523814.2300787,2180,0.534795880317688
1556523820.0094852,2200,0.3473091423511505
1556523825.7623315,2220,0.3912751078605652
1556523831.5058415,2240,0.2407330572605133
1556523837.276471,2260,0.23890306055545807
1556523843.0579002,2280,0.3100179433822632
1556523848.8384774,2300,0.3012019991874695
1556523854.6189115,2320,0.26195859909057617
1556523860.3904665,2340,0.21636977791786194
1556523866.142589,2360,0.24715197086334229
1556523871.9153872,2380,0.2929341197013855
1556523877.9251826,2400,0.24870944023132324
1556523883.7017694,2420,0.2706792950630188
1556523889.4810712,2440,0.25470250844955444
1556523895.231552,2460,0.2673206031322479
1556523900.978872,2480,0.30781543254852295
1556523906.7254426,2500,0.26826393604278564
1556523912.4826796,2520,0.2683219909667969
1556523918.262198,2540,0.2345636785030365
1556523924.0136752,2560,0.246501162648201
1556523929.7867203,2580,0.2401517629623413
1556523935.537002,2600,0.23563408851623535
1556523941.3159814,2620,0.3095254898071289
1556523947.059019,2640,0.26609525084495544
1556523952.806109,2660,0.23421481251716614
1556523958.573486,2680,0.2873852550983429
1556523964.3556182,2700,0.23977388441562653
1556523970.1295469,2720,0.19317057728767395
1556523975.8796391,2740,0.3234483599662781
1556523981.6272135,2760,0.24563375115394592
1556523987.410042,2780,0.2606815695762634
1556523993.1574297,2800,0.1823159158229828
1556523998.9163513,2820,0.2325589656829834
1556524004.689497,2840,0.2531144618988037
1556524010.4658928,2860,0.23679447174072266
1556524016.2116764,2880,0.2646540403366089
1556524021.9625602,2900,0.2321898192167282
1556524027.7168713,2920,0.18132291734218597
1556524033.495584,2940,0.3077586591243744
1556524039.2480593,2960,0.2629386782646179
1556524044.9956446,2980,0.21377155184745789
1556524050.7674842,3000,0.27157503366470337
1556524056.5177107,3020,0.22067925333976746
1556524062.5432189,3040,0.256428986787796
1556524068.2827365,3060,0.28196993470191956
1556524074.0395744,3080,0.2534712255001068
1556524079.7746305,3100,0.21038660407066345
