Wall time,Step,Value
1556500699.6053452,0,2.334075689315796
1556500715.2399542,20,1.0918800830841064
1556500729.0127463,40,1.1747910976409912
1556500742.5371983,60,0.8026695847511292
1556500755.3034153,80,0.783021867275238
1556500768.4631538,100,0.8002951145172119
1556500782.0326385,120,0.6439422965049744
1556500794.532437,140,0.7784968614578247
1556500807.754547,160,0.668719470500946
1556500820.5866559,180,0.7391183376312256
1556500833.0662355,200,0.7091102004051208
1556500845.5644522,220,0.6943701505661011
1556500858.0699177,240,0.5682300329208374
1556500870.5507388,260,0.49978888034820557
1556500883.0616758,280,0.6405972242355347
1556500895.576844,300,0.8201498985290527
1556500908.0649967,320,0.5972126722335815
1556500920.583635,340,0.7130337953567505
1556500933.10685,360,0.631576657295227
1556500945.6311567,380,0.5817593932151794
1556500958.5333054,400,0.6575338840484619
1556500971.0793834,420,0.6487401127815247
1556500983.9729283,440,0.7013678550720215
1556500996.4722128,460,0.6023304462432861
1556501008.986386,480,0.549289345741272
1556501021.5044022,500,0.4405306577682495
1556501034.0521011,520,0.6465554237365723
1556501046.594793,540,0.7263926267623901
1556501059.1490593,560,0.6272655725479126
1556501071.6664324,580,0.5661138296127319
1556501084.5673332,600,0.7888450622558594
1556501097.1196134,620,0.48593413829803467
1556501110.006949,640,0.539129912853241
1556501122.904917,660,0.5746262073516846
1556501135.4250503,680,0.40764284133911133
1556501147.9812243,700,0.7522749900817871
1556501160.504481,720,0.4353165924549103
1556501173.0297015,740,0.6161919832229614
1556501185.5512094,760,0.6711149215698242
1556501198.0982847,780,0.5275857448577881
1556501210.6246533,800,0.5865540504455566
1556501223.1876416,820,0.6030750274658203
1556501235.7375734,840,0.5383576154708862
1556501248.2614439,860,0.40759867429733276
1556501260.7909324,880,0.5270538330078125
1556501273.3472903,900,0.5297227501869202
1556501285.8898823,920,0.5239563584327698
1556501298.44975,940,0.5453508496284485
1556501310.987775,960,0.5807970762252808
1556501323.5371656,980,0.5026423931121826
1556501336.4249167,1000,0.5988257527351379
1556501348.9788806,1020,0.6263297200202942
1556501361.502565,1040,0.5164952278137207
1556501374.0517519,1060,0.5206573605537415
1556501386.6060128,1080,0.5687347054481506
1556501399.1594465,1100,0.5518328547477722
1556501411.7168639,1120,0.5299902558326721
1556501424.2809718,1140,0.4668031930923462
1556501437.198895,1160,0.7317989468574524
1556501450.1112316,1180,0.4378868043422699
1556501462.677324,1200,0.5124144554138184
1556501475.1975052,1220,0.5462131500244141
1556501487.7549136,1240,0.46951600909233093
1556501500.2778697,1260,0.41812723875045776
1556501512.7993236,1280,0.6389355659484863
1556501525.328269,1300,0.5119110345840454
1556501537.8580668,1320,0.47279495000839233
1556501550.412283,1340,0.6987083554267883
1556501562.972466,1360,0.6202516555786133
1556501575.5088072,1380,0.45180416107177734
1556501588.0702634,1400,0.40841805934906006
1556501600.5975595,1420,0.559650182723999
1556501613.1134005,1440,0.5479425191879272
1556501625.6333556,1460,0.4935491681098938
1556501638.1633608,1480,0.5135172605514526
1556501650.7304337,1500,0.6155977845191956
1556501663.2857401,1520,0.4805186092853546
1556501675.8497021,1540,0.609225869178772
1556501688.3834949,1560,0.5484538078308105
1556501700.912871,1580,0.5601083040237427
1556501713.438714,1600,0.4966549277305603
1556501725.9947329,1620,0.40462958812713623
1556501738.5539079,1640,0.5124659538269043
1556501751.1163807,1660,0.47943809628486633
1556501763.6499214,1680,0.5014305114746094
1556501776.2077742,1700,0.47553369402885437
1556501788.7708926,1720,0.4344498813152313
1556501801.3065166,1740,0.44621944427490234
1556501813.8518696,1760,0.4802331328392029
1556501826.4138937,1780,0.48684823513031006
1556501838.9693346,1800,0.4959544539451599
1556501851.533538,1820,0.44738513231277466
1556501864.094202,1840,0.38363152742385864
1556501876.657212,1860,0.46319442987442017
1556501889.2156842,1880,0.41988834738731384
1556501901.7359543,1900,0.47839775681495667
1556501914.640178,1920,0.40123623609542847
1556501927.174613,1940,0.3955313563346863
1556501939.707176,1960,0.6257635951042175
1556501952.238341,1980,0.4904436469078064
1556501964.798659,2000,0.48050060868263245
1556501977.361725,2020,0.41226398944854736
1556501989.9018884,2040,0.30242621898651123
1556502003.2380342,2060,0.49999409914016724
1556502015.776889,2080,0.48450401425361633
1556502028.3300445,2100,0.3740984797477722
1556502040.8946874,2120,0.4066399335861206
1556502053.4504771,2140,0.38788384199142456
1556502066.0103056,2160,0.5951911807060242
1556502078.5696394,2180,0.5330448746681213
1556502091.109227,2200,0.5565351247787476
1556502103.667718,2220,0.41402748227119446
1556502116.5599115,2240,0.41687482595443726
1556502129.1276891,2260,0.36280667781829834
1556502141.6899827,2280,0.4678688645362854
1556502154.2480516,2300,0.38209640979766846
1556502166.8077438,2320,0.48093900084495544
1556502179.3703,2340,0.43474048376083374
1556502191.9028518,2360,0.446628212928772
1556502204.4546916,2380,0.4218137264251709
1556502217.012494,2400,0.43196436762809753
1556502229.563359,2420,0.41712242364883423
