Wall time,Step,Value
1556500699.6053452,0,0.009999099187552929
1556500715.2399542,20,0.009981079958379269
1556500729.0127463,40,0.009963023476302624
1556500742.5371983,60,0.009944931603968143
1556500755.3034153,80,0.009926802478730679
1556500768.4631538,100,0.009908636100590229
1556500782.0326385,120,0.009890432469546795
1556500794.532437,140,0.009872191585600376
1556500807.754547,160,0.009853914380073547
1556500820.5866559,180,0.009835598058998585
1556500833.0662355,200,0.009817244485020638
1556500845.5644522,220,0.009798851795494556
1556500858.0699177,240,0.009780420921742916
1556500870.5507388,260,0.009761951863765717
1556500883.0616758,280,0.009743442758917809
1556500895.576844,300,0.009724895469844341
1556500908.0649967,320,0.009706308133900166
1556500920.583635,340,0.009687680751085281
1556500933.10685,360,0.009669013321399689
1556500945.6311567,380,0.009650305844843388
1556500958.5333054,400,0.009631558321416378
1556500971.0793834,420,0.00961276888847351
1556500983.9729283,440,0.009593939408659935
1556500996.4722128,460,0.009575068019330502
1556501008.986386,480,0.009556155651807785
1556501021.5044022,500,0.009537200443446636
1556501034.0521011,520,0.00951820332556963
1556501046.594793,540,0.009499164298176765
1556501059.1490593,560,0.009480082429945469
1556501071.6664324,580,0.00946095772087574
1556501084.5673332,600,0.00944178830832243
1556501097.1196134,620,0.009422576986253262
1556501110.006949,640,0.009403320029377937
1556501122.904917,660,0.00938402023166418
1556501135.4250503,680,0.009364675730466843
1556501147.9812243,700,0.009345285594463348
1556501160.504481,720,0.009325851686298847
1556501173.0297015,740,0.009306371212005615
1556501185.5512094,760,0.009286845102906227
1556501198.0982847,780,0.009267272427678108
1556501210.6246533,800,0.009247654117643833
1556501223.1876416,820,0.009227988310158253
1556501235.7375734,840,0.009208275936543941
1556501248.2614439,860,0.009188516065478325
1556501260.7909324,880,0.009168707765638828
1556501273.3472903,900,0.009148852899670601
1556501285.8898823,920,0.009128947742283344
1556501298.44975,940,0.009108995087444782
1556501310.987775,960,0.009088992141187191
1556501323.5371656,980,0.009068939834833145
1556501336.4249167,1000,0.009048838168382645
1556501348.9788806,1020,0.00902868527919054
1556501361.502565,1040,0.009008483029901981
1556501374.0517519,1060,0.008988228626549244
1556501386.6060128,1080,0.008967923000454903
1556501399.1594465,1100,0.008947565220296383
1556501411.7168639,1120,0.008927155286073685
1556501424.2809718,1140,0.008906693197786808
1556501437.198895,1160,0.008886178024113178
1556501450.1112316,1180,0.00886560883373022
1556501462.677324,1200,0.008844985626637936
1556501475.1975052,1220,0.008824308402836323
1556501487.7549136,1240,0.008803575299680233
1556501500.2778697,1260,0.008782788179814816
1556501512.7993236,1280,0.008761945180594921
1556501525.328269,1300,0.008741045370697975
1556501537.8580668,1320,0.008720090612769127
1556501550.412283,1340,0.008699077181518078
1556501562.972466,1360,0.008678007870912552
1556501575.5088072,1380,0.00865687895566225
1556501588.0702634,1400,0.008635692298412323
1556501600.5975595,1420,0.00861444603651762
1556501613.1134005,1440,0.008593141101300716
1556501625.6333556,1460,0.008571776561439037
1556501638.1633608,1480,0.008550350554287434
1556501650.7304337,1500,0.00852886401116848
1556501663.2857401,1520,0.008507316000759602
1556501675.8497021,1540,0.008485705591738224
1556501688.3834949,1560,0.008464032784104347
1556501700.912871,1580,0.008442297577857971
1556501713.438714,1600,0.008420498110353947
1556501725.9947329,1620,0.008398634381592274
1556501738.5539079,1640,0.008376706391572952
1556501751.1163807,1660,0.008354712277650833
1556501763.6499214,1680,0.008332652971148491
1556501776.2077742,1700,0.008310525678098202
1556501788.7708926,1720,0.00828833319246769
1556501801.3065166,1740,0.008266071788966656
1556501813.8518696,1760,0.0082437414675951
1556501826.4138937,1780,0.008221343159675598
1556501838.9693346,1800,0.008198875002563
1556501851.533538,1820,0.00817633606493473
1556501864.094202,1840,0.008153725415468216
1556501876.657212,1860,0.00813104398548603
1556501889.2156842,1880,0.0081082908436656
1556501901.7359543,1900,0.0080854631960392
1556501914.640178,1920,0.00806256290525198
1556501927.174613,1940,0.008039587177336216
1556501939.707176,1960,0.008016536943614483
1556501952.238341,1980,0.007993410341441631
1556501964.798659,2000,0.007970207370817661
1556501977.361725,2020,0.007946927100419998
1556501989.9018884,2040,0.007923567667603493
1556502003.2380342,2060,0.00790013000369072
1556502015.776889,2080,0.007876611314713955
1556502028.3300445,2100,0.007853013463318348
1556502040.8946874,2120,0.007829333655536175
1556502053.4504771,2140,0.007805570960044861
1556502066.0103056,2160,0.007781724911183119
1556502078.5696394,2180,0.007757795508950949
1556502091.109227,2200,0.007733780425041914
1556502103.667718,2220,0.007709679193794727
1556502116.5599115,2240,0.007685491815209389
1556502129.1276891,2260,0.007661215960979462
1556502141.6899827,2280,0.007636851631104946
1556502154.2480516,2300,0.007612396962940693
1556502166.8077438,2320,0.007587852422147989
1556502179.3703,2340,0.007563215680420399
1556502191.9028518,2360,0.007538485806435347
1556502204.4546916,2380,0.007513662334531546
1556502217.012494,2400,0.007488744333386421
1556502229.563359,2420,0.007463729474693537
1556502242.1269593,2440,0.007438617758452892
1556502254.673394,2460,0.007413407787680626
1556502267.59554,2480,0.007388098631054163
1556502280.1635427,2500,0.007362688425928354
1556502293.0603616,2520,0.007337176240980625
1556502305.6033788,2540,0.007311560679227114
1556502318.1407793,2560,0.007285840809345245
1556502330.7070897,2580,0.007260016165673733
1556502343.6017492,2600,0.007234083488583565
1556502356.1495612,2620,0.007208042778074741
1556502368.716959,2640,0.007181893102824688
1556502381.276699,2660,0.007155631668865681
1556502393.8414857,2680,0.007129258010536432
1556502406.411453,2700,0.007102769799530506
1556502418.9489872,2720,0.007076166104525328
1556502431.4846516,2740,0.007049445994198322
1556502444.4034681,2760,0.0070226071402430534
1556502456.9673862,2780,0.006995648145675659
1556502469.5342488,2800,0.006968567613512278
1556502482.464093,2820,0.006941363215446472
1556502495.3871286,2840,0.006914034020155668
1556502507.9306414,2860,0.006886578164994717
1556502520.466415,2880,0.006858993321657181
1556502532.9830863,2900,0.006831277161836624
1556502545.5207727,2920,0.006803429685533047
1556502558.0502594,2940,0.006775448098778725
1556502570.5904963,2960,0.0067473300732672215
1556502583.129167,2980,0.006719073746353388
1556502595.6881456,3000,0.0066906763240695
1556502608.2302556,3020,0.0066621373407542706
1556502621.1486125,3040,0.006633453536778688
1556502633.6881795,3060,0.006604622583836317
1556502646.2525027,3080,0.006575643550604582
1556502659.1452818,3100,0.006546512711793184
1556502671.6804154,3120,0.006517227739095688
1556502684.6065094,3140,0.006487786304205656
1556502697.5254436,3160,0.00645818654447794
1556502710.0835934,3180,0.006428425200283527
1556502722.6458948,3200,0.006398499943315983
1556502735.174684,3220,0.006368407513946295
